reservation_id,listing_id,listing_name,total_revenue,billable_amount,rental_amount,bedrooms,owner_stay,booked_at,lead_time,checkin_date,stay_length,adr,guests,status,currency,is_managed_account_valid
127377714,3960401,Shipwatch Pointe E109,0.00,0.00,0.00,2,No,2026-04-07T14:12:14+00:00,12,2026-04-19,4,0.00,0,canceled,USD,Yes
127377065,3960337,Barefoot #811 Ironwood,600.00,934.40,600.00,2,No,2026-04-07T12:49:45+00:00,13,2026-04-20,10,60.00,0,accepted,USD,Yes
127377094,3960348,Caravelle Resort #125,424.00,535.73,424.00,1,No,2026-04-07T04:15:18+00:00,1,2026-04-08,4,106.00,0,accepted,USD,Yes
127377106,3960352,Covewind 1518,483.00,716.56,483.00,4,No,2026-04-07T02:13:53+00:00,38,2026-05-15,2,241.50,0,accepted,USD,Yes
127377095,3960350,Coconut Grove #204,1782.00,1919.84,1782.00,6,No,2026-04-07T01:32:31+00:00,86,2026-07-02,3,594.00,0,accepted,USD,Yes
127377096,3960350,Coconut Grove #204,833.00,1117.93,833.00,6,No,2026-04-07T00:08:41+00:00,23,2026-04-30,3,277.67,0,accepted,USD,Yes
127276438,3960372,Kingston - Arrow Head Court Unit #215,310.00,485.87,310.00,2,No,2026-04-06T22:41:11+00:00,11,2026-04-17,5,62.00,0,accepted,USD,Yes
127276341,4041055,A Place At The Beach II  3-B,340.80,511.90,340.80,2,No,2026-04-06T18:54:36+00:00,2,2026-04-08,4,85.20,0,accepted,USD,Yes
127276532,3960405,Tilgham #241,358.00,581.36,358.00,3,No,2026-04-06T17:16:37+00:00,4,2026-04-10,3,119.33,0,accepted,USD,Yes
127276394,3960339,Beach Cove #412,720.00,760.50,720.00,1,No,2026-04-06T14:54:34+00:00,13,2026-04-19,7,102.86,0,accepted,USD,Yes
127276535,3960405,Tilgham #241,0.00,0.00,0.00,3,No,2026-04-06T13:37:34+00:00,11,2026-04-17,9,0.00,0,canceled,USD,Yes
127276410,3960353,Covewind 1522,2594.00,2594.00,2594.00,4,No,2026-04-06T01:44:36+00:00,75,2026-06-20,6,432.33,0,accepted,USD,Yes
127276515,3960394,Sanabel Towers #303,571.00,706.42,571.00,2,No,2026-04-06T01:33:29+00:00,18,2026-04-24,4,142.75,0,accepted,USD,Yes
127276480,3960390,Ocean villas #G2,218.00,408.13,218.00,2,No,2026-04-06T01:09:04+00:00,11,2026-04-17,3,72.67,0,accepted,USD,Yes
127276471,3960384,Myrtle Beach Resort #431B,1116.00,1150.04,1116.00,1,No,2026-04-05T22:32:15+00:00,65,2026-06-09,6,186.00,0,accepted,USD,Yes
127212795,3960364,Grande Cayman Resort #1253,2165.00,2165.00,2165.00,3,No,2026-04-05T18:37:23+00:00,27,2026-05-02,8,270.63,0,accepted,USD,Yes
127212723,3960337,Barefoot #811 Ironwood,398.40,601.64,398.40,2,No,2026-04-05T17:19:02+00:00,47,2026-05-22,3,132.80,0,accepted,USD,Yes
127212724,3960337,Barefoot #811 Ironwood,896.00,1022.11,896.00,2,No,2026-04-05T16:57:53+00:00,90,2026-07-04,7,128.00,0,accepted,USD,Yes
127212804,3960366,Hillside Beach House,0.00,0.00,0.00,3,No,2026-04-05T05:46:27+00:00,11,2026-04-16,4,0.00,0,canceled,USD,Yes
127212687,3960327,Anderson Ocean Club,1408.00,1468.61,1408.00,3,No,2026-04-05T03:29:54+00:00,68,2026-06-12,2,704.00,0,accepted,USD,Yes
127212725,3960337,Barefoot #811 Ironwood,470.40,662.48,470.40,2,No,2026-04-05T00:50:37+00:00,104,2026-07-18,4,117.60,0,accepted,USD,Yes
127212939,3960401,Shipwatch Pointe E109,207.00,398.84,207.00,2,No,2026-04-04T23:08:31+00:00,0,2026-04-04,2,103.50,0,accepted,USD,Yes
127212866,3960390,Ocean villas #G2,404.00,565.30,404.00,2,No,2026-04-04T22:25:14+00:00,18,2026-04-22,4,101.00,0,accepted,USD,Yes
127212796,3960364,Grande Cayman Resort #1253,382.00,601.64,382.00,3,No,2026-04-04T22:23:27+00:00,13,2026-04-17,2,191.00,0,accepted,USD,Yes
127212848,3960383,Monterey Bay #1205,378.00,539.41,378.00,1,No,2026-04-04T21:43:57+00:00,4,2026-04-08,4,94.50,0,accepted,USD,Yes
127157194,3960361,Emerald Pointe #3B,892.00,977.66,892.00,2,No,2026-04-04T19:58:57+00:00,108,2026-07-21,4,223.00,0,accepted,USD,Yes
127157345,3960394,Sanabel Towers #303,1338.00,1739.26,1338.00,2,No,2026-04-04T19:05:02+00:00,79,2026-06-22,5,267.60,0,accepted,USD,Yes
127157156,3960350,Coconut Grove #204,692.00,998.79,692.00,6,No,2026-04-04T18:09:01+00:00,20,2026-04-24,3,230.67,0,accepted,USD,Yes
127157135,3960339,Beach Cove #412,799.00,882.18,799.00,1,No,2026-04-04T16:54:53+00:00,48,2026-05-22,4,199.75,0,accepted,USD,Yes
127157339,3960393,Robbers Roost Villas 909,429.00,670.93,429.00,2,No,2026-04-04T16:14:01+00:00,3,2026-04-07,4,107.25,0,accepted,USD,Yes
127157203,3960364,Grande Cayman Resort #1253,1920.00,1920.00,1920.00,3,No,2026-04-04T14:11:03+00:00,66,2026-06-09,4,480.00,0,accepted,USD,Yes
127157186,3960358,Cypress Bay #101,442.00,597.41,442.00,2,No,2026-04-04T13:54:17+00:00,21,2026-04-25,7,63.14,0,accepted,USD,Yes
127157351,3960398,Sand Dunes Resort 2527,511.00,820.26,511.00,1,No,2026-04-03T23:49:53+00:00,40,2026-05-13,4,127.75,0,accepted,USD,Yes
127157070,3960326,A Place at the beach 3L 5001,520.00,851.73,520.00,2,No,2026-04-03T23:25:22+00:00,2,2026-04-05,5,104.00,0,accepted,USD,Yes
127101677,3960337,Barefoot #811 Ironwood,133.00,431.83,133.00,2,No,2026-04-03T18:29:48+00:00,6,2026-04-09,2,66.50,0,canceled,USD,Yes
127101928,3960364,Grande Cayman Resort #1253,625.00,806.97,625.00,3,No,2026-04-03T17:19:34+00:00,16,2026-04-19,4,156.25,0,accepted,USD,Yes
127102078,3960381,MB Resort 4216,1522.00,1522.00,1522.00,2,No,2026-04-03T16:33:50+00:00,121,2026-08-02,7,217.43,0,accepted,USD,Yes
127102102,3960388,Ocean Reef #518,2205.00,2205.00,2205.00,3,No,2026-04-03T15:17:47+00:00,57,2026-05-30,6,367.50,0,accepted,USD,Yes
127102158,3960393,Robbers Roost Villas 909,308.00,568.68,308.00,2,No,2026-04-03T12:19:08+00:00,16,2026-04-19,5,61.60,0,accepted,USD,Yes
127102044,3960373,Luster Leaf 104,1720.00,1761.82,1720.00,3,No,2026-04-03T03:47:32+00:00,120,2026-08-01,7,245.71,0,accepted,USD,Yes
127101859,3960353,Covewind 1522,759.00,949.78,759.00,4,No,2026-04-02T22:14:27+00:00,4,2026-04-06,4,189.75,0,accepted,USD,Yes
127101930,3960364,Grande Cayman Resort #1253,3297.00,3297.00,3297.00,3,No,2026-04-02T20:02:58+00:00,86,2026-06-27,6,549.50,0,accepted,USD,Yes
127101400,3960323,A Place at the Beach #123,231.00,419.12,231.00,2,No,2026-04-02T19:50:10+00:00,8,2026-04-10,2,115.50,0,accepted,USD,Yes
127035937,3960332,Barefoot #1532 Willow Bend,508.00,653.18,508.00,2,No,2026-04-02T17:59:45+00:00,18,2026-04-20,6,84.67,0,accepted,USD,Yes
127035703,3960326,A Place at the beach 3L 5001,299.00,476.58,299.00,2,No,2026-04-02T17:03:28+00:00,1,2026-04-03,2,149.50,0,accepted,USD,Yes
127036832,3960372,Kingston - Arrow Head Court Unit #215,306.00,482.49,306.00,2,No,2026-04-02T16:51:15+00:00,7,2026-04-09,3,102.00,0,accepted,USD,Yes
127036070,3960338,Beach Club II 4E,888.00,1058.78,888.00,4,No,2026-04-02T15:15:22+00:00,4,2026-04-06,3,296.00,0,accepted,USD,Yes
127037367,3960390,Ocean villas #G2,999.00,1068.08,999.00,2,No,2026-04-02T12:14:40+00:00,101,2026-07-12,4,249.75,0,accepted,USD,Yes
127037273,3960384,Myrtle Beach Resort #431B,37.00,210.39,37.00,1,No,2026-04-02T12:08:10+00:00,1,2026-04-03,2,18.50,0,accepted,USD,Yes
127037370,3960390,Ocean villas #G2,458.00,610.93,458.00,2,No,2026-04-02T03:18:57+00:00,9,2026-04-11,6,76.33,0,accepted,USD,Yes
127037425,3960391,Palms Resort #902,517.00,715.71,517.00,3,No,2026-04-02T02:57:24+00:00,15,2026-04-17,3,172.33,0,accepted,USD,Yes
127036127,3960340,Beach Cove #507,0.00,0.00,0.00,1,No,2026-04-01T20:42:19+00:00,6,2026-04-07,5,0.00,0,canceled,USD,Yes
127035675,3960325,A Place at the Beach #3G,492.00,639.66,492.00,2,No,2026-04-01T19:36:42+00:00,6,2026-04-07,4,123.00,0,accepted,USD,Yes
127036587,3960366,Hillside Beach House,324.00,582.20,324.00,3,No,2026-04-01T17:18:56+00:00,1,2026-04-02,2,162.00,0,accepted,USD,Yes
127036099,3960339,Beach Cove #412,341.00,495.17,341.00,1,No,2026-04-01T13:59:42+00:00,29,2026-04-30,3,113.67,0,accepted,USD,Yes
126896051,3960332,Barefoot #1532 Willow Bend,1023.00,1088.36,1023.00,2,No,2026-04-01T05:55:20+00:00,129,2026-08-08,7,146.14,0,accepted,USD,Yes
126896112,3960350,Coconut Grove #204,531.00,862.74,531.00,6,No,2026-04-01T02:17:39+00:00,16,2026-04-17,3,177.00,0,accepted,USD,Yes
126896289,3960364,Grande Cayman Resort #1253,772.00,931.19,772.00,3,No,2026-04-01T01:15:28+00:00,9,2026-04-10,3,257.33,0,accepted,USD,Yes
126896811,3960401,Shipwatch Pointe E109,324.00,497.70,324.00,2,No,2026-03-31T23:43:12+00:00,13,2026-04-13,5,64.80,0,accepted,USD,Yes
126896671,3960394,Sanabel Towers #303,433.00,742.56,433.00,2,No,2026-03-31T23:20:50+00:00,0,2026-03-31,4,108.25,0,accepted,USD,Yes
126896347,3960381,MB Resort 4216,341.00,512.07,341.00,2,No,2026-03-31T18:07:50+00:00,20,2026-04-20,5,68.20,0,accepted,USD,Yes
126896279,3960361,Emerald Pointe #3B,333.00,648.83,333.00,2,No,2026-03-31T17:23:36+00:00,9,2026-04-09,3,111.00,0,accepted,USD,Yes
126896350,3960381,MB Resort 4216,362.00,529.81,362.00,2,No,2026-03-31T16:48:45+00:00,13,2026-04-13,6,60.33,0,accepted,USD,Yes
126802753,3960328,Barefoot #1222 Havens,349.00,518.83,349.00,2,No,2026-03-31T04:01:17+00:00,19,2026-04-19,4,87.25,0,accepted,USD,Yes
126802769,3960332,Barefoot #1532 Willow Bend,755.00,861.90,755.00,2,No,2026-03-31T02:47:59+00:00,68,2026-06-07,6,125.83,0,accepted,USD,Yes
126802771,3960332,Barefoot #1532 Willow Bend,512.00,656.56,512.00,2,No,2026-03-31T00:55:53+00:00,52,2026-05-22,3,170.67,0,accepted,USD,Yes
126802755,3960328,Barefoot #1222 Havens,279.00,459.68,279.00,2,No,2026-03-30T23:58:53+00:00,4,2026-04-03,3,93.00,0,accepted,USD,Yes
126802892,3960388,Ocean Reef #518,251.00,609.20,251.00,3,No,2026-03-30T23:44:43+00:00,19,2026-04-18,2,125.50,0,accepted,USD,Yes
126802853,3960361,Emerald Pointe #3B,688.00,805.28,688.00,2,No,2026-03-30T23:23:18+00:00,52,2026-05-21,3,229.33,0,accepted,USD,Yes
126802915,3960392,Prince Resort 1205,646.00,824.72,646.00,3,No,2026-03-30T22:47:57+00:00,4,2026-04-03,2,323.00,0,accepted,USD,Yes
126802922,3960393,Robbers Roost Villas 909,373.00,623.61,373.00,2,No,2026-03-30T19:04:31+00:00,3,2026-04-02,4,93.25,0,accepted,USD,Yes
126802932,3960398,Sand Dunes Resort 2527,116.00,274.04,116.00,1,No,2026-03-30T18:03:18+00:00,7,2026-04-06,3,38.67,0,accepted,USD,Yes
